연번,가격,상품명,상세정보
1525,"521,250원",게이밍 PC 삼성전자 데스크탑 본체 i7-7700 GTX1060 윈도우11,"종류 : 조립형PC, CPU제조사 : 인텔CPU : 코어i7-7700, , 그래픽 : 지포스GTX1060램용량 : 16GB코드명 : 카비레이크(7세대), SSD용량 : 512GB, , 그래픽 메모리 : 6GB   "
1526,"최저1,464,030원",G376T i7 13700F 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 13세대, CPU : 코어i7-13700F, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (인텔)B760M, 칩셋램용량 : 16GB"
1527,"최저1,802,000원",IGNIQ 인테그 프로 4546T,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-14400F, CPU종류 : 코어i5 14세대, 메인보드 : (인텔)B760램용량 : 16GB     "
1528,"최저572,790원",장우컴퍼니 A40210,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5500GT, , 그래픽 : 라데온 , , 그래픽 7, 메인보드 : (AMD)B550, 칩셋램용량 : 8GB  "
1529,"279,000원",게이밍컴퓨터 조립 PC 조립 데스크탑 본체 인강용 사무용 주식용 롤 오버워치,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 애슬론품목 : 데스크탑"
1530,"최저1,103,000원",이엠텍 레드빗 PRO - R5O304,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (AMD) B550M, 칩셋램용량 : 32GB "
1531,"최저806,660원",장우컴퍼니 A40217,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600X, , 그래픽 : 지포스GT1030, 메인보드 : (AMD)B550, 칩셋램용량 : 8GB속도(기본클럭) : 3.7GHz "
1532,"637,200원",라이젠 R5 7500F 배그 화이트 게이밍컴퓨터 조립PC 그래픽선택 반본체,페이지 참조
1533,"최저2,035,340원",장우컴퍼니 i40236,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i9 14세대, CPU : 코어i9-14900, , 그래픽 : 인텔UHD770, 메인보드 : (인텔)Z790램용량 : 32GB속도(기본클럭) : 2.0GHz"
1534,"최저495,670원",이엠텍 레드빗 HOME - R5NC01,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600G, , 그래픽 : 라데온 , , 그래픽 7, 메인보드 : (AMD)B550, 칩셋램용량 : 16GB "
1535,"최저756,960원",레노버 씽크센터 M70q G4 Tiny 12E3000WKR,"품목 : 데스크탑형태 : 랙형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-13400T, CPU종류 : 코어i5 13세대코어종류 : 10코어, 메인보드 : (인텔)Q670, 칩셋램용량 : 4GB    "
1536,"최저890,000원",삼성전자 삼성 DM500SCA-A24BA,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄 골드-G6400, CPU종류 : 펜티엄 골드코어종류 : 2코어, 메인보드 : (인텔) H470, 칩셋램용량 : 4GB     "
1537,"755,000원",블루컴퓨터 게이밍 컴퓨터 배그 디아블로 발로란트 오버워치 롤 컴퓨터 견적 본체 R1,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600, , 그래픽 : 지포스 RTX4060, 메인보드 : (AMD)B550, 칩셋램용량 : 16GB, 램규격 : DDR4 "
1538,"최저1,391,440원",SA376 i7 13700F 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 13세대, CPU : 코어i7-13700F, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (인텔)B760M, 칩셋램용량 : 16GB"
1539,"최저1,009,900원",이엑스코리아 게이밍 i5 RTX 2060,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 9세대, CPU : 코어i5-9400F, , 그래픽 : 지포스RTX2060, 메인보드 : (인텔) H310, 칩셋램용량 : 16GB"
1540,"최저1,564,800원",삼성전자 삼성 DM710A4M-L58S,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-7400T코어종류 : 4코어램용량 : 8GB, SSD용량 : 128GB속도(기본클럭) : 2.4GHz터보부스트 : 3.0GHz  "
1541,"최저1,430,000원",삼성전자 삼성 DM700A7K-K28,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄-3805U코어종류 : 2코어램용량 : 8GB속도(기본클럭) : 1.9GHzHDD용량 : 500GB, , 그래픽 : 인텔HD   "
1542,"최저474,590원",코어 i7 샌디브릿지 2600 + 외장형 그래픽카드,"종류 : 조립형PC, "
1543,"최저849,000원",IGNIQ 이그닉리트 RT-MNP00024 WIN11 HOME,"품목 : 미니PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-12400, CPU종류 : 코어i5 12세대, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, SSD용량 : 256GB   "
1544,"최저698,000원",주연테크 D2 121NW,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i3-12100, CPU종류 : 코어i3 12세대코어종류 : 4코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 240GB"
1545,"최저1,399,000원",주연테크 리오나인터보 CG275F46TNS,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD) B650M칩셋     "
1546,"최저2,099,000원",주연테크 익스트림 D778X47,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠7-7800X3D, CPU종류 : 라이젠 7코어종류 : 8코어"
1547,"최저1,269,000원",IGNIQ 이그닉리트 RT-MNP00026 WIN11,페이지 참조
1548,"400,200원",포유컴 인텔 i5 12400 8GB 256GB 컴퓨터 조립PC 데스크탑 사무용 894,연간 4900원으로 신세계 유니버스 클럽 가입하시고 매월 최대 15%할인&무제한 5% 할인 기회를 놓치지 마세요! 추가로 스타벅스와 이마트 할인 혜택도 있어요!
1549,"최저568,000원",주연테크 D2v12100W,"CPU제조사 : 인텔CPU : 코어i3-12100, CPU종류 : 코어i3 12세대, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 256GB, , 그래픽 : 인텔UHD730파워 : 500W, 램규격 : DDR4  "
1550,"최저1,470,000원",LG전자 27V70N-GR30K,"CPU : 코어i3-10110U속도(기본클럭) : 2.1GHz, , 그래픽 : 인텔UHD화면크기 : 27인치(68~69cm), 운영체제 : 윈도우10 홈해상도 : 1920x1080(Full-HD)"
1551,"최저1,249,000원",주연테크 CG234F46T,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-13400F, CPU종류 : 코어i5 13세대, 메인보드 : (인텔)B760M칩셋      "
1552,"5,530,000원",한성컴퓨터 TFG DX5959RXTW,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠9-5950X, CPU종류 : 라이젠 9코어종류 : 16코어, 메인보드 : (AMD) X570, 칩셋램용량 : 16GB       "
1553,"최저827,120원",P756A 라이젠5 7500F 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-7500F, , 그래픽 : 라데온 RX-6600, 메인보드 : (AMD) A620M, 칩셋램용량 : 16GB"
1554,"최저1,837,620원",L4770 i7 14700F 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 14세대, CPU : 코어i7-14700F, , 그래픽 : 지포스 RTX4070, 메인보드 : (인텔)B760M, 칩셋램용량 : 16GB"
1555,"469,000원",고사양 게이밍컴퓨터 조립PC 본체 배그컴퓨터 RTX2060,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스RTX2060, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, 램규격 : DDR4   "
1556,"최저916,400원",PH3460 i5 13400F 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13400F, , 그래픽 : 지포스 RTX4060, 메인보드 : (인텔)H610M, 칩셋램용량 : 16GB"
1557,"최저1,026,800원",PH346T i5 13400F 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13400F, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (인텔)H610M, 칩셋램용량 : 16GB"
1558,"최저1,098,740원",HP 27-cb0000KR,"품목 : 데스크탑형태 : 일체형PCCPU제조사 : AMDCPU : 라이젠3-5300U, CPU종류 : 라이젠 3코어종류 : 4코어램용량 : 8GB, SSD용량 : 256GB     "
1559,"528,360원",레노버 V30a-24IIL AIO 11LAA005KR,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-1005G1, CPU종류 : 코어i3 10세대코어종류 : 2코어램용량 : 4GB, SSD용량 : 128GB  "
1560,"최저170,500원",조텍 ZBOX Nano ID62 RAM/HDD포함,종류 : 베어본PC
1561,"1,530,000원",삼성전자 삼성 DM700A7K-K25,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄-3805U코어종류 : 2코어램용량 : 4GB, SSD용량 : 128GB속도(기본클럭) : 1.9GHzHDD용량 : 500GB   "
1562,"1,089,000원",삼성전자 삼성 DM530ABE-L54,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-8265U코어종류 : 4코어램용량 : 4GB, SSD용량 : 256GB속도(기본클럭) : 1.6GHz터보부스트 : 3.9GHz   "
1563,"최저499,000원",레노버 14ACN6 90RX0007KR,"품목 : 데스크탑CPU제조사 : AMDCPU : 라이젠3-5300G, CPU종류 : 라이젠 3코어종류 : 4코어램용량 : 4GB, SSD용량 : 256GB속도(기본클럭) : 4.0GHz     "
1564,"최저799,000원",IGNIQ 이그닉리트 RT-MNP00025 OS 미포함,페이지 참조
1565,"최저979,000원",IGNIQ 이그닉리트 RT-MNP00025 WIN11,페이지 참조
1566,"최저488,000원",스카이레이크 i3 6100 + 내장형 그래픽카드,"종류 : 조립형PC, "
1567,"최저255,000원",셀러론 하스웰 G1850 + 내장형 그래픽카드,"종류 : 조립형PC, "
1568,"최저5,000,000원",프리플로우 ULTRA GAMING R9 A7TI,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 9CPU : 라이젠9-7900, , 그래픽 : 지포스 RTX4070Ti, 메인보드 : (AMD) A620M, 칩셋램용량 : 32GB "
1569,"최저3,078,300원",몬스타 몬스타기어 몬스타PC H2O,"CPU제조사 : 인텔, CPU종류 : 코어i7 14세대, CPU : 코어i7-14700K, , 그래픽 : 지포스 RTX4070Ti, 메인보드 : (인텔)Z790램용량 : 32GB속도(기본클럭) : 3.4GHz, 램규격 : DDR5"
1570,"최저616,320원",IGNIQ 리트 심플PC 1C RE 프리도스(RT-SPP00013),"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-12100, CPU종류 : 코어i3 12세대코어종류 : 4코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB     "
1571,"2,629,000원",프리플로우 ULTIMATE GAMING i5 D7TI,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13600KF, , 그래픽 : 지포스 RTX4070Ti, 메인보드 : (인텔)Z790램용량 : 32GB속도(기본클럭) : 3.5GHz "
1572,"169,000원",에스PC 매장용 가정용 인강용조립PC S5,"종류 : 조립형PC, CPU제조사 : 인텔CPU : 코어i5램용량 : 8GB, 램규격 : DDR3, SSD용량 : 120GBSSD 인터페이스 : NVMeM.2파워 : 500W랜 : 유선랜 무선랜 "
1573,"275,000원",산업용컴퓨터 IPC6000 I3-5005U 5세대 베어본 INDUSTRIAL PC,페이지 참조
1574,"최저543,050원",장우컴퍼니 i40209,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 14세대, CPU : 코어i3-14100F, , 그래픽 : 지포스GT1030, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB속도(기본클럭) : 3.5GHz"
1575,"106,000원",해외BEELINK EQ12 미니PC 12세대 인텔 N100 사무용 게임용 데스크탑 PC,종류 : 베어본PCCPU제조사 : 인텔색상 : 블랙 그린 그레이 오렌지품목 : 미니PC
1576,"최저248,000원",애즈락 DeskMini X300 No Cooler 180W,"종류 : 베어본PCCPU제조사 : AMD, 메인보드 : (AMD)X300, 칩셋램용량 : 64GB, 램규격 : DDR4SSD 인터페이스 : M.2파워 : 180W랜 : 유선랜 1Gbps 무선랜(WIFI)      "
1577,"최저980,000원",IGNIQ 비와이 30,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄 골드-G6405, CPU종류 : 펜티엄 골드코어종류 : 2코어, 메인보드 : (인텔)H510, 칩셋램용량 : 4GB      "
1578,"최저432,000원",IGNIQ 이그닉리트 타이니타워 RT-TTP00004 Win11,"품목 : 미니PC형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : G7400, CPU종류 : 셀러론코어종류 : 2코어, 메인보드 : (인텔)H610, 칩셋램용량 : 4GB    "
1579,"최저1,057,930원",장우컴퍼니 i40221,"CPU제조사 : 인텔, CPU종류 : 코어i5 14세대, CPU : 코어i5-14600KF, , 그래픽 : 지포스GT1030, 메인보드 : (인텔)B760M, 칩셋램용량 : 8GB속도(기본클럭) : 3.5GHz, 램규격 : DDR5"
1580,"최저563,780원",장우컴퍼니 i40210,"CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400, , 그래픽 : 인텔UHD730, 메인보드 : (인텔)B760M, 칩셋램용량 : 8GB속도(기본클럭) : 2.5GHz, 램규격 : DDR5"
1581,"최저2,039,270원",P47K13 i7 14700KF 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 14세대, CPU : 코어i7-14700KF, , 그래픽 : 지포스 RTX4070, 메인보드 : (인텔)Z790램용량 : 16GB속도(기본클럭) : 3.4GHz"
1582,"최저1,788,180원",P37K13 i7 13700KF 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 13세대, CPU : 코어i7-13700KF, , 그래픽 : 지포스 RTX4070, 메인보드 : (인텔)B760M, 칩셋램용량 : 16GB"
1583,"최저976,910원",G3460 i5 13400F 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13400F, , 그래픽 : 지포스 RTX4060, 메인보드 : (인텔)H610M, 칩셋램용량 : 16GB"
1584,"최저1,143,820원",HP TG02-2000KL,"품목 : 데스크탑형태 : 타워형CPU제조사 : 인텔CPU : 코어i5-14400F, CPU종류 : 코어i5 14세대코어종류 : 10코어, 메인보드 : (인텔)H670, 칩셋램용량 : 16GB   "
1585,"859,000원",미니PC 데스크탑 미니컴퓨터 인텔 i5 레노버 Neo 50q,"품목 : 미니PC형태 : 슬림형특징 : 사무용CPU제조사 : 인텔, CPU종류 : 코어i5 13세대램용량 : 16GB, SSD용량 : 512GB터보부스트 : 4.6GHz, , 그래픽 : UHD , , 그래픽스          "
1586,"최저1,248,000원",주연테크 익스트림 D734F46W,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-13400F, CPU종류 : 코어i5 13세대코어종류 : 6코어     "
1587,"146,400원",미니 스틱 PC 휴대 사무용 데스크탑 win10,신한/롯데/현대/KB국민/삼성 100만원 이상 결제 시 최대 22개월 무이자
1588,"최저2,429,000원",이엠텍 레드빗 HERO - I7O403,"특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-14700F, CPU종류 : 코어i7 14세대, 메인보드 : (인텔)B760M, 칩셋램용량 : 32GB, SSD용량 : 1TB, , 그래픽 : 지포스 RTX4070 "
1589,"최저2,992,000원",이엠텍 레드빗 SUPERHERO - R7O501,"특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠7-7800X3D, CPU종류 : 라이젠 7, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB, SSD용량 : 1TB "
1590,"최저1,588,000원",이엠텍 레드빗 HERO - R7O501,"특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠7-5700X3D, CPU종류 : 라이젠 7, 메인보드 : (AMD) A520MT, 칩셋램용량 : 16GB, SSD용량 : 500GB "
1591,"최저709,000원",LG전자 A81GV-AX0306,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-10100, CPU종류 : 코어i3 10세대코어종류 : 4코어, 메인보드 : (인텔)H410, 칩셋램용량 : 8GB     "
1592,"최저1,164,360원",이엠텍 레드빗 PRO - I5O405,"특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-12400F, CPU종류 : 코어i5 12세대, 메인보드 : (인텔)H610M, 칩셋램용량 : 32GB, SSD용량 : 1TB, , 그래픽 : 지포스 RTX4060"
1593,"최저1,004,400원",이엠텍 PRO - I5O407,"특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-12600, CPU종류 : 코어i5 12세대, 메인보드 : (인텔)B660, 칩셋램용량 : 16GB, SSD용량 : 500GB, , 그래픽 : 지포스 RTX4060 Ti "
1594,"최저1,706,180원",PH24TS i5 12400F 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스 RTX4070 TI SUPER, 메인보드 : (인텔)H610M, 칩셋램용량 : 16GB"
1595,"900,000원",맥프로 6세대 A1481 중급 연탄맥 8코어/D300 MAC PRO,페이지 참조
1596,"최저1,348,000원",주연테크 익스트림 D775F46P,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD) B650M칩셋     "
1597,"최저3,390,000원",HP GT21-2000kl,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i9-14900K, CPU종류 : 코어i9 14세대코어종류 : 24코어, 메인보드 : (인텔)Z790       "
1598,"최저2,929,610원",DELL XPS DX8960R-WP03KR,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-14700, CPU종류 : 코어i7 14세대코어종류 : 20코어램용량 : 32GB, SSD용량 : 1TB    "
1599,"최저3,302,000원",IGNIQ 인테그 마스터 2748KS Win11,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-12700KF, CPU종류 : 코어i7 12세대코어종류 : 4+8코어         "
1600,"최저624,570원",주연테크 D2v12400W,"CPU제조사 : 인텔CPU : 코어i5-12400, CPU종류 : 코어i5 12세대, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 256GB, , 그래픽 : 인텔UHD730파워 : 500W, 램규격 : DDR4  "
1601,"최저888,880원",주연테크 D2v12700P,"CPU제조사 : 인텔CPU : 코어i7-12700, CPU종류 : 코어i7 12세대, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 256GB, , 그래픽 : 인텔UHD770파워 : 500W, 램규격 : DDR4  "
1602,"최저1,848,000원",주연테크 CG237F46TP,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-13700F, CPU종류 : 코어i7 13세대코어종류 : 8+8코어      "
1603,"최저1,099,000원",주연테크 CG234F46,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-13400F, CPU종류 : 코어i5 13세대코어종류 : 6코어   "
1604,"최저1,259,000원",주연테크 리오나인터보 CG275F46NS,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD) B650칩셋   "
1605,"최저815,000원",삼성전자 삼성 DM500S8A-A34BA,페이지 참조
1606,"최저872,000원",IGNIQ 인테그 젠지 8600,"품목 : 데스크탑형태 : 큐브형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-8600G, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD) A620칩셋      "
1607,"465,000원",리니지M 다계정 컴퓨터 퍼플 LD플레이어 리니지W 다클라 PC01,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 10세대코드명 : 코멧레이크(10세대)품목 : 데스크탑"
1608,"최저5,102,140원",R4990 i9 14900KF 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i9 14세대, CPU : 코어i9-14900KF, , 그래픽 : 지포스 RTX4090, 메인보드 : (인텔)Z790램용량 : 32GB속도(기본클럭) : 3.2GHz"
1609,"169,000원",에스컴 디자인 포토샵 캐드 일러스트 컴퓨터 S11,"종류 : 조립형PC, 형태 : 슬림형특징 : 게이밍(게임용)품목 : 데스크탑"
1610,"316,000원",중고 본체 컴퓨터 PC i5 6500 GTX1060 3G JB61,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 6세대, CPU : 코어i5-6500, , 그래픽 : 지포스GTX1060, 메인보드 : (인텔) H110, 칩셋램용량 : 16GB, 램규격 : DDR4"
1611,"190,000원",야인컴퓨터 사무용 가정용 주식용 조립PC 컴퓨터본체 럭셔리0번,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 2세대, 메인보드 : (인텔) H61, 칩셋램용량 : 4GB, 램규격 : DDR3코드명 : 샌디브릿지(2세대), SSD용량 : 240GB파워 : 500W                   "
1612,"최저2,340,980원",P39TS i9 13900KF 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i9 13세대, CPU : 코어i9-13900KF, , 그래픽 : 지포스 RTX4070 TI SUPER, 메인보드 : (인텔)B760M, 칩셋램용량 : 16GB"
1613,"최저1,855,140원",R47K1 i7 14700KF 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 14세대, CPU : 코어i7-14700KF, , 그래픽 : 지포스 RTX3050, 메인보드 : (인텔)Z790램용량 : 16GB속도(기본클럭) : 3.4GHz "
1614,"최저1,088,070원",G346T i5 13400F 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13400F, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (인텔)H610M, 칩셋램용량 : 16GB"
1615,"2,930,000원",몬스타 가츠 AMD 7800X3D 4080 SUPER 4K 완전정복 게임용컴퓨터,"CPU제조사 : AMD, CPU종류 : 라이젠 7CPU : 라이젠7-7800X3D, , 그래픽 : 지포스 RTX4080 SUPER, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB"
1616,"최저1,946,280원",PH27TS i7 12700F 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 12세대, CPU : 코어i7-12700F, , 그래픽 : 지포스 RTX4070 TI SUPER, 메인보드 : (인텔)B760M, 칩셋램용량 : 16GB"
1617,"799,000원",삼성 데스크탑 슬림 PC 사무용 학생용 컴퓨터 본체 정품 WIn11 포함,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄-300
키보드 마우스 증정 재고보유 당일출고"
1618,"최저4,303,780원",S789 라이젠7 7800X3D 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 7CPU : 라이젠7-7800X3D, , 그래픽 : 지포스 RTX4090, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB"
1619,"최저1,210,030원",P37K1 i7 13700KF 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 13세대, CPU : 코어i7-13700KF, , 그래픽 : 지포스 RTX3050, 메인보드 : (인텔)B760M, 칩셋램용량 : 16GB"
1620,"최저3,552,440원",R398S i9 13900KF 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i9 13세대, CPU : 코어i9-13900KF, , 그래픽 : 지포스 RTX4080 SUPER, 메인보드 : (인텔)Z790램용량 : 32GB"
1621,"최저2,891,980원",A79D8S 라이젠9 7900X3D 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 9CPU : 라이젠9-7900X3D, , 그래픽 : 지포스 RTX4080 SUPER, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB"
1622,"최저4,560,060원",A795D90 라이젠9 7950X3D 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 9CPU : 라이젠9-7950X3D, , 그래픽 : 지포스 RTX4090, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB"
1623,"최저1,503,000원",몬스타 몬스타기어 노바디60,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 7CPU : 라이젠7-5700X3D, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (AMD) B550M, 칩셋램용량 : 32GB, 램규격 : DDR4"
1624,"최저712,320원",IGNIQ 리트 심플PC 1C RE(RT-SPP00013),"품목 : 데스크탑특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-12100, CPU종류 : 코어i3 12세대코어종류 : 4코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB    "
1625,"최저1,099,000원",IGNIQ 이그닉리트 RT-MNP00026 OS 미포함,페이지 참조
1626,"최저2,362,000원",IGNIQ 인테그 젠지 7847XS,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠7-7800X3D, CPU종류 : 라이젠 7코어종류 : 8코어     "
1627,"최저2,542,000원",IGNIQ 인테그 젠지 7847XS Win11,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠7-7800X3D, CPU종류 : 라이젠 7코어종류 : 8코어     "
1628,"최저2,752,000원",IGNIQ 인테그 젠지 7847XTS,"품목 : 데스크탑형태 : 타워형CPU제조사 : AMDCPU : 라이젠7-7800X3D, CPU종류 : 라이젠 7코어종류 : 8코어, 메인보드 : (AMD) A620, 칩셋램용량 : 16GB     "
1629,"최저1,932,000원",IGNIQ 인테그 젠지 7547S,"품목 : 데스크탑형태 : 타워형CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD) A620, 칩셋램용량 : 16GB, SSD용량 : 512GB     "
1630,"최저952,000원",IGNIQ 인테그 젠지 5635,"품목 : 데스크탑형태 : 타워형CPU제조사 : AMDCPU : 라이젠5-5600, CPU종류 : 라이젠 5, 메인보드 : (AMD) B450, 칩셋램용량 : 16GB, SSD용량 : 512GB, , 그래픽 : 지포스 RTX3050      "
1631,"최저868,550원",DELL OPTIPLEX 7010MFF-UB02KR,"품목 : 미니PC형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-12500T, CPU종류 : 코어i5 13세대코어종류 : 10코어, 메인보드 : (인텔)Q670, 칩셋램용량 : 16GB  "
