연번,가격,상품명,상세정보
48,"최저299,800원",포유컴퓨터 포유컴 라이젠 R5 5600G + 내장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600G, , 그래픽 : 라데온 , , 그래픽 7, 메인보드 : (AMD)A520M, 칩셋램용량 : 8GB"
49,"555,000원",샵다나와 사무용 조립PC [AMD R5-5600G/내장VGA/16GB] SSPB 5-2,"종류 : 조립형PC, CPU제조사 : AMDCPU : 라이젠5-5600G, , 그래픽 : CPU내장, 메인보드 : (AMD)A520M, 칩셋램용량 : 16GB, SSD용량 : 500GB, 운영체제 : OS미포함"
50,"658,000원",게이밍컴퓨터세트 조립PC 고사양컴퓨터 사무용컴퓨터견적 주식용 조립컴,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5램용량 : 16GB, 램규격 : DDR4, SSD용량 : 500GBSSD 인터페이스 : NVMeM.2파워 : 500WODD : DVD멀티(외장형)      "
51,"468,000원",포유컴 인텔12세대 i5 12400F GT730 멀티작업용 컴퓨터 조립PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스GT730, 메인보드 : (인텔)B660M, 칩셋램용량 : 16GB "
52,"1,289,000원",샵다나와 게임용 조립PC [인텔 i5-14400F/RTX4060/16GB] SSPB 5-8,"종류 : 조립형PC, CPU제조사 : 인텔CPU : 코어i5-14400F, , 그래픽 : 지포스 RTX4060, 메인보드 : (인텔)B760M, 칩셋램용량 : 16GB, SSD용량 : 1TB, 운영체제 : OS미포함"
53,"1,149,000원",샵다나와 게임용 조립PC [AMD R5-5600/RTX4060/16GB] SSPB 5-9,"종류 : 조립형PC, CPU제조사 : 인텔CPU : 라이젠5-5600, , 그래픽 : 지포스 RTX4060, 메인보드 : (AMD) B550M, 칩셋램용량 : 16GB, SSD용량 : 1TB, 운영체제 : OS미포함"
54,"868,000원",포유컴 인텔 14세대 i7 14700 M2 NVMe 512G 고사양컴퓨터 조립PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 14세대, CPU : 코어i7-14700, 메인보드 : (인텔)H610M, 칩셋램용량 : 8GB속도(기본클럭) : 2.1GHz터보부스트 : 5.4GHz"
55,"338,000원",포유컴 인텔 12세대 i3 12100 M2 NVMe 256G 사무용컴퓨터 조립PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 12세대, CPU : 코어i3-12100, , 그래픽 : 인텔UHD730, 메인보드 : (인텔)B660M, 칩셋램용량 : 8GB속도(기본클럭) : 3.3GHz "
56,"488,000원",포유컴 인텔 13세대 i5 13400 M2 NVMe 256G 사무용컴퓨터 조립PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13400, , 그래픽 : 인텔UHD730, 메인보드 : (인텔)B660M, 칩셋램용량 : 8GB속도(기본클럭) : 2.5GHz "
57,"929,000원",HP 일체형PC 27인치 i5 올인원 가정 사무용 컴퓨터 본체 병원 학교 데스크탑 윈11,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-1335U       
카드&쿠폰 할인+포토리뷰 작성시 네이버 포인트 적립+램업글시 한컴 증정"
58,"699,000원",조립PC 게이밍 컴퓨터 게임용 데스크탑 조립식 본체 고사양 피씨 배그 롤 견적 EX1,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i3-12100F      
사운드바장패드 무료+출장방문A/S 1년 무료+즉시할인쿠폰"
59,"169,000원",미니PC 인텔 사무용 기업용 가정용 주식용 윈도우10설치 데스크탑 컴퓨터 본체 01,페이지 참조
