회사명,직무명,링크
㈜앤씨앤,[앤씨앤/넥스트칩] 2024년 8월 각 부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45237512?rPageCode=SL&logpath=21&sn=6
㈜베네통코리아,(주)베네통코리아 / 베네통 영라인 온라인MD/디자이너/마케터 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45258822?rPageCode=SL&logpath=21&sn=6
㈜알레르망,[알레르망] 2024년 하반기 공채,https://www.jobkorea.co.kr/Recruit/GI_Read/45257662?rPageCode=SL&logpath=21&sn=6
㈜시몬스,2024년 하반기 부문별 채용공고(신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45253033?rPageCode=SL&logpath=21&sn=6
㈜스탁키퍼,[스탁키퍼] 식품 B2C MD 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45258877?rPageCode=SL&logpath=21&sn=6
㈜로앙,여성패션 브랜드 온라인 MD 경력직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45262627?rPageCode=SL&logpath=21&sn=6
하이카즈렌트카,신차장기렌트&리스[정착금600/인센]인바운드 영업/신입 강력지원제도/TM 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45257729?rPageCode=SL&logpath=21&sn=6
닥터블릿헬스케어㈜,[홈페이지지원] 닥터블릿 헬스케어(주) 각부문별 하반기 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45246974?rPageCode=SL&logpath=21&sn=6
㈜폴리인스퍼레이션,"폴리인스퍼레이션 채용 (마케팅, 법률행정, 캠퍼스 지원, 출판물류, 인사, 영어 R&D, IT기획)",https://www.jobkorea.co.kr/Recruit/GI_Read/45252766?rPageCode=SL&logpath=21&sn=6
워로브라더스,온라인 AMD,https://www.jobkorea.co.kr/Recruit/GI_Read/45251425?rPageCode=SL&logpath=21&sn=6
㈜씨이오인터내셔널,[씨이오보떼] 쿠팡 온라인MD(경력1년이상),https://www.jobkorea.co.kr/Recruit/GI_Read/45253767?rPageCode=SL&logpath=21&sn=6
㈜지엔코,㈜지엔코 남성캐주얼 신규브랜드 바잉MD 신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45248034?rPageCode=SL&logpath=21&sn=6
