회사명,직무명,링크
㈜포커스에이치엔에스,[코스닥] 중앙관제 SW개발자 모집 (AI 영상관제/ VMS/ CCTV),https://www.jobkorea.co.kr/Recruit/GI_Read/45531406?rPageCode=SL&logpath=21&sn=6
㈜아이핌,(주)아이핌 AI 소프트웨어 개발자 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45531199?rPageCode=SL&logpath=21&sn=6
㈜케이씨엠에스,"남영동 악사손해보험 인프라 운영 DBA, DB설정 변경, SQL튜닝 등 DB관리 경험자를 모집 합니다. (t03)",https://www.jobkorea.co.kr/Recruit/GI_Read/45531333?rPageCode=SL&logpath=21&sn=6
화정소프트,"웹개발(SI,SM) JAVA/JSP/Springframework 경력직 개발자 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45529681?rPageCode=SL&logpath=21&sn=6
㈜엑시엄 정보시스템,오라클/마리아/MySQL/PostgreSQL DBA 경력직 사원 모집(서울/수도권),https://www.jobkorea.co.kr/Recruit/GI_Read/45531020?rPageCode=SL&logpath=21&sn=6
㈜바이트사이즈,인공지능 R&D 전문가,https://www.jobkorea.co.kr/Recruit/GI_Read/45530888?rPageCode=SL&logpath=21&sn=6
라이트비전㈜,(경력)컴퓨터 비전 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45530542?rPageCode=SL&logpath=21&sn=6
㈜메타에스앤씨,[(주)메타에스앤씨] CRM 병원정보시스템 기획자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45530308?rPageCode=SL&logpath=21&sn=6
㈜휴머스온,Service Manager 경력직,https://www.jobkorea.co.kr/Recruit/GI_Read/45530064?rPageCode=SL&logpath=21&sn=6
㈜휴머스온,데이터베이스 관리자 DBA 경력직,https://www.jobkorea.co.kr/Recruit/GI_Read/45529944?rPageCode=SL&logpath=21&sn=6
㈜휴머스온,데이터 엔지니어 DE 경력직,https://www.jobkorea.co.kr/Recruit/GI_Read/45529862?rPageCode=SL&logpath=21&sn=6
㈜이노션,[이노션] CRM Data Manager,https://www.jobkorea.co.kr/Recruit/GI_Read/45529819?rPageCode=SL&logpath=21&sn=6
에너자이,에너자이 AI 최적화 Researcher 채용 공고 (전문연구요원 가능),https://www.jobkorea.co.kr/Recruit/GI_Read/45529706?rPageCode=SL&logpath=21&sn=6
㈜유라클,[국내 1위 모바일 솔루션] 유라클 연구소 SoftWare Product Manager모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45529238?rPageCode=SL&logpath=21&sn=6
㈜마음에이아이,(주)마음에이아이 Prompt Engineer 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45529177?rPageCode=SL&logpath=21&sn=6
㈜데이타뱅크,(대구)DB 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45529016?rPageCode=SL&logpath=21&sn=6
㈜슈퍼캣,[슈퍼캣] DBA 모집 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45528952?rPageCode=SL&logpath=21&sn=6
엘지유플러스,[CTO] AI Scientist-자연어처리 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45528976?rPageCode=SL&logpath=21&sn=6
㈜커스토머인사이트,데이터 분석(SQL) 및 캠페인툴(Adobe Campaign) 운영 신입 및 경력사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45528968?rPageCode=SL&logpath=21&sn=6
㈜아이티앤씨,(급)공공기관 인프라(DBA) 운영 상주인력 모집합니다. (영등포),https://www.jobkorea.co.kr/Recruit/GI_Read/45528951?rPageCode=SL&logpath=21&sn=6
㈜엔텍정보통신,서버관제 신입사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45528585?rPageCode=SL&logpath=21&sn=6
피아스페이스㈜,"AI 학습 위한 영상 데이터 수집 및 재연 업무 (일산4일, 양재1일)",https://www.jobkorea.co.kr/Recruit/GI_Read/45528499?rPageCode=SL&logpath=21&sn=6
피아스페이스㈜,"AI 학습 위한 영상 데이터 수집 및 재연 업무 (인천4일, 양재1일)",https://www.jobkorea.co.kr/Recruit/GI_Read/45528391?rPageCode=SL&logpath=21&sn=6
비비,랜딩 페이지 제작 및 개발 가능자,https://www.jobkorea.co.kr/Recruit/GI_Read/45528023?rPageCode=SL&logpath=21&sn=6
(유)앤서스랩코리아,[외국계/게임사]게임 개발자 모집(Developer),https://www.jobkorea.co.kr/Recruit/GI_Read/45527964?rPageCode=SL&logpath=21&sn=6
블루닷㈜,딥러닝 개발 경력자,https://www.jobkorea.co.kr/Recruit/GI_Read/45527698?rPageCode=SL&logpath=21&sn=6
(주)모바일팩토리,CRM 데이터 추출(SQL) 및 분석 경력사원(재택근무) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45527740?rPageCode=SL&logpath=21&sn=6
㈜제이투이,"[DBA SI 양재] DBA (MariaDB/MySQL) 업무, 6개월, 등급무관, 양재 강남 서초..........(4)",https://www.jobkorea.co.kr/Recruit/GI_Read/45527539?rPageCode=SL&logpath=21&sn=6
㈜써로마인드,(주)써로마인드 개발자(머신러닝 엔지니어) 모집공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45527239?rPageCode=SL&logpath=21&sn=6
㈜제이투이,"[Power BI SI 상일동] POWER BI, SI, 상일동, ETL 및 BI(POWER BI)개발, 등급무관, 상일동 .....(2)",https://www.jobkorea.co.kr/Recruit/GI_Read/45527186?rPageCode=SL&logpath=21&sn=6
㈜바이텍씨스템,빅데이터 솔루션 경험자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45527083?rPageCode=SL&logpath=21&sn=6
올거나이즈코리아㈜,NLP Researcher/Engineer,https://www.jobkorea.co.kr/Recruit/GI_Read/45526876?rPageCode=SL&logpath=21&sn=6
㈜태광데이터시스템,[TKG그룹/IT] 시스템 개발/운영 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45526913?rPageCode=SL&logpath=21&sn=6
휴먼교육센터,"[휴먼교육센터] AI, 빅데이터 강사 채용[서울영등포센터]",https://www.jobkorea.co.kr/Recruit/GI_Read/45526545?rPageCode=SL&logpath=21&sn=6
