회사명,직무명,링크
아이린디,[아이린디] 영업지원팀 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542086?rPageCode=SL&logpath=21&sn=6
㈜비티피코리아,"[캡스클린케어/천안,아산지사/차량지원] 방역,소독 서비스 매니저 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45539160?rPageCode=SL&logpath=21&sn=6
올바름부동산공인중개사사무소,((대전부동산))워킹많음/광고비최대지원/공인중개사/중개보조원//경력자우대//,https://www.jobkorea.co.kr/Recruit/GI_Read/45542068?rPageCode=SL&logpath=21&sn=6
코웨이,"코웨이 홈케어 닥터 공개 모집] (진주시,사천,남해,하동,산청,거창,함양 )",https://www.jobkorea.co.kr/Recruit/GI_Read/45542064?rPageCode=SL&logpath=21&sn=6
삼성생명,24년하반기 법인영업 채용 [ 삼성생명 ],https://www.jobkorea.co.kr/Recruit/GI_Read/45542045?rPageCode=SL&logpath=21&sn=6
코리아e플랫폼㈜,[광동제약 계열사/중견기업] 판촉 영업 담당자 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542036?rPageCode=SL&logpath=21&sn=6
㈜신한벽지특판,2024년 하반기 영업부 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542007?rPageCode=SL&logpath=21&sn=6
㈜플래티어,㈜플래티어 B2B(솔루션/플랫폼) 영업대표 경력직 채용 [5-10년],https://www.jobkorea.co.kr/Recruit/GI_Read/45542004?rPageCode=SL&logpath=21&sn=6
㈜유원,수입목재유통 영업사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45541984?rPageCode=SL&logpath=21&sn=6
나눔,전국 모텔영업 가능자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45541914?rPageCode=SL&logpath=21&sn=6
삼양식품㈜,삼양식품(주) - 한국본부 유통영업부문 이커머스팀 신성장커머스파트 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541967?rPageCode=SL&logpath=21&sn=6
㈜레뷰코퍼레이션,인플루언서 마케팅 광고영업 제주지사(지역 매장) 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541961?rPageCode=SL&logpath=21&sn=6
㈜무토,무역실무 담당자(해외영업 어시스턴트),https://www.jobkorea.co.kr/Recruit/GI_Read/45541907?rPageCode=SL&logpath=21&sn=6
신우밸브㈜,밸브회사 중국공장 공장장(총경리) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541901?rPageCode=SL&logpath=21&sn=6
