회사명,직무명,링크
우성엔지니어링,기아자동차 소하리공장 부품물류 현장사원 모집 (시흥시 매화동 물류센터 근무),https://www.jobkorea.co.kr/Recruit/GI_Read/45537275?rPageCode=SL&logpath=21&sn=6
프로텍메인터넌스,(주)프로텍메인터넌스 화학 플랜트 자재관리원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45537242?rPageCode=SL&logpath=21&sn=6
㈜한가람문구,한가람문구 물류센터 정규직 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45537238?rPageCode=SL&logpath=21&sn=6
풀무원 새용산 유통,"풀무원식품 납품 영업 사원 모집(월1회 월차,법정공휴일휴무)",https://www.jobkorea.co.kr/Recruit/GI_Read/45537193?rPageCode=SL&logpath=21&sn=6
㈜동양유공압,저희와 함께 갈 인재를 찾습니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45537144?rPageCode=SL&logpath=21&sn=6
㈜맨파워코리아,[신용산/신입가능] 글로벌 의약품 유통기업 구매팀 Admin,https://www.jobkorea.co.kr/Recruit/GI_Read/45537135?rPageCode=SL&logpath=21&sn=6
케이넷㈜,[외국계 기업] 지게차 운전원 (정읍공장),https://www.jobkorea.co.kr/Recruit/GI_Read/45536974?rPageCode=SL&logpath=21&sn=6
디자인쁘렝땅 경기광주초월점,디자인쁘렝땅 경기광주초월점,https://www.jobkorea.co.kr/Recruit/GI_Read/45536892?rPageCode=SL&logpath=21&sn=6
씨엠에스글로벌㈜,의류부자재 수발주 및 거래처 관리업무,https://www.jobkorea.co.kr/Recruit/GI_Read/45536865?rPageCode=SL&logpath=21&sn=6
쿠팡풀필먼트서비스,[쿠팡CFS] 쿠팡 양지7센터 OB(출고) 현장관리자(팀캡틴) 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45536819?rPageCode=SL&logpath=21&sn=6
㈜신지모루,[경력] 구매 담당자 모집(중국어 필수),https://www.jobkorea.co.kr/Recruit/GI_Read/45536731?rPageCode=SL&logpath=21&sn=6
㈜멕텍,자재관리 정규직 채용합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45536684?rPageCode=SL&logpath=21&sn=6
㈜엠티오(MTO),약품사업본부 신입사원 모집(배송 및 재고관리)-부산,https://www.jobkorea.co.kr/Recruit/GI_Read/45536658?rPageCode=SL&logpath=21&sn=6
㈜금성,LX하우시스 PVC창호 자재부 - 자재관리 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45536620?rPageCode=SL&logpath=21&sn=6
㈜마니커에프앤지,[구매] 마니커에프앤지 구매부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45536596?rPageCode=SL&logpath=21&sn=6
㈜스마트파워,[생산관리]생산 구매 & 자재 관리 정규직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45536593?rPageCode=SL&logpath=21&sn=6
㈜연호엠에스,(주)연호엠에스 구매/자재관리 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45536534?rPageCode=SL&logpath=21&sn=6
EDTC 이디티씨,EDTC 이커머스 창고 물류 및 상품 포장 업무 분야 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45536372?rPageCode=SL&logpath=21&sn=6
㈜다다씨앤씨,자재팀 경력직(해외주재원),https://www.jobkorea.co.kr/Recruit/GI_Read/45536174?rPageCode=SL&logpath=21&sn=6
㈜제이시스메디칼,[제이시스메디칼] 자재관리 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45536166?rPageCode=SL&logpath=21&sn=6
㈜센테크이엔지,"(주)센테크이엔지 자재관리, 자재구매 관련 담당직원 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45536065?rPageCode=SL&logpath=21&sn=6
한국전기공업,자재부 직원채용(cad 가능자 우대),https://www.jobkorea.co.kr/Recruit/GI_Read/45535992?rPageCode=SL&logpath=21&sn=6
대아홀딩스㈜,자재 직원 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45535957?rPageCode=SL&logpath=21&sn=6
UFI Filters Korea,[외국계 제조] 자재관리 정규직 - 경력무관(고졸가능),https://www.jobkorea.co.kr/Recruit/GI_Read/45535955?rPageCode=SL&logpath=21&sn=6
육성푸드㈜,"외식 브랜드 [팔각도, 호랭이반점] 구매 물류 담당자 경력직 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45535943?rPageCode=SL&logpath=21&sn=6
나우픽스,"물류팀 직원채용(물류포장,재고관리,납품관리,사무업무)",https://www.jobkorea.co.kr/Recruit/GI_Read/45535823?rPageCode=SL&logpath=21&sn=6
㈜아이캠퍼,[캠핑브랜드] 아이캠퍼 구매팀원 신입 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45535813?rPageCode=SL&logpath=21&sn=6
㈜엘앤케이바이오메드,[코스닥상장/용인] SCM 팀장 (의료기기 경력자),https://www.jobkorea.co.kr/Recruit/GI_Read/45535799?rPageCode=SL&logpath=21&sn=6
